ResponseId,MainBranch,Age,Employment,RemoteWork,Check,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,TechDoc,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,BuildvsBuy,TechEndorse,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,LanguageAdmired,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,DatabaseAdmired,PlatformHaveWorkedWith,PlatformWantToWorkWith,PlatformAdmired,WebframeHaveWorkedWith,WebframeWantToWorkWith,WebframeAdmired,EmbeddedHaveWorkedWith,EmbeddedWantToWorkWith,EmbeddedAdmired,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,MiscTechAdmired,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,ToolsTechAdmired,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,NEWCollabToolsAdmired,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackAsyncAdmired,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,OfficeStackSyncAdmired,AISearchDevHaveWorkedWith,AISearchDevWantToWorkWith,AISearchDevAdmired,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOHow,SOComm,AISelect,AISent,AIBen,AIAcc,AIComplex,AIToolCurrently Using,AIToolInterested in Using,AIToolNot interested in Using,AINextMuch more integrated,AINextNo change,AINextMore integrated,AINextLess integrated,AINextMuch less integrated,AIThreat,AIEthics,AIChallenges,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Knowledge_9,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Frustration,ProfessionalTech,ProfessionalCloud,ProfessionalQuestion,Industry,JobSatPoints_1,JobSatPoints_4,JobSatPoints_5,JobSatPoints_6,JobSatPoints_7,JobSatPoints_8,JobSatPoints_9,JobSatPoints_10,JobSatPoints_11,SurveyLength,SurveyEase,ConvertedCompYearly,JobSat
27,I am a developer by profession,35-44 years old,"Employed, full-time",Remote,Apples,Professional development or self-paced learning from online courses,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Books / Physical media;Colleague;On the job training;Online Courses or Certification,NA,NA,20,17,"Developer, full-stack",NA,NA,NA,NA,NA,Italy,NA,NA,C#;HTML/CSS;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL,C#;JavaScript;Python;Scala;SQL,Microsoft SQL Server;PostgreSQL;Presto,PostgreSQL;Presto,PostgreSQL;Presto,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;Node.js,Node.js,Node.js,NA,NA,NA,.NET Framework (1.0 - 4.8);Apache Spark,Apache Spark,Apache Spark,Docker,Docker,Docker,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code,MacOS;Windows,MacOS;Windows,Markdown File;Miro;Notion,Markdown File;Miro;Notion,Markdown File;Miro;Notion,Google Meet;Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,ChatGPT;GitHub Copilot;Visual Studio Intellicode,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,Quickly finding code solutions,"Yes, somewhat",Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Neither trust nor distrust,"Good, but not great at handling complex tasks",Learning about a codebase;Writing code;Debugging and getting help;Testing code;Search for answers;Generating content or synthetic data,Committing and reviewing code;Deployment and monitoring;Predictive analytics,Project planning;Documenting code,,Learning about a codebase;Generating content or synthetic data,Writing code;Debugging and getting help;Testing code;Search for answers,,,I'm not sure,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Replacing jobs without options for new employment opportunities;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools;Not everyone uses them;We don’t have the right policies in place to reduce security risks,Yes,Individual contributor,17,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,30-60 minutes a day,None of these,DevOps function;Automated testing;Observability tools;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Slack search,Media & Advertising Services,0,10,10,25,20,10,5,10,10,Appropriate in length,Neither easy nor difficult,NA,7
28,I am a developer by profession,25-34 years old,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Books / Physical media;On the job training,NA,NA,7,6,Cloud infrastructure engineer,NA,NA,NA,NA,NA,Ukraine,NA,NA,Bash/Shell (all shells);Lua;TypeScript,Bash/Shell (all shells);Lua;Rust;TypeScript;Zig,Bash/Shell (all shells);Lua;TypeScript,Dynamodb;PostgreSQL,Dynamodb,Dynamodb,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),React,Htmx;Next.js,NA,Rasberry Pi,Rasberry Pi,Rasberry Pi,NA,NA,NA,Docker;Homebrew;Nix;npm;Yarn,Bun;Docker;Kubernetes;Nix;pnpm;Yarn,Docker;Nix;Yarn,Neovim,Neovim,Neovim,MacOS;Other (please specify):,MacOS,Confluence;GitHub Discussions;Notion,Confluence;Notion;Obsidian,Confluence;Notion,Discord;Google Meet;Matrix;Microsoft Teams;Signal;Slack;Telegram,Discord;Google Meet;Matrix;Microsoft Teams;Signal;Slack,Discord;Google Meet;Matrix;Microsoft Teams;Signal;Slack,ChatGPT;Claude;GitHub Copilot,ChatGPT;Claude;GitHub Copilot;Google Gemini,ChatGPT;Claude;GitHub Copilot,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Bad at handling complex tasks,Writing code;Debugging and getting help,Learning about a codebase;Documenting code;Testing code;Committing and reviewing code,Project planning;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data;Other (please specify):,Writing code;Debugging and getting help,,,,,No,Circulating misinformation or disinformation,"AI tools lack context of codebase,  internal architecture, and/or company knowledge;Lack of proper training and education on new tools;Lack of executive buy-in;Not everyone uses them",Yes,Individual contributor,6,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Never,Never,1-2 times a week,60-120 minutes a day,15-30 minutes a day,NA,NA,Cloud only (single or multi-cloud),Traditional public search engine,Software Development,0,0,0,50,20,15,15,0,0,Appropriate in length,Neither easy nor difficult,NA,7
29,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Hobby;Other (please specify):;Bootstrapping a business,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)",Technical documentation;Written Tutorials;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;First-party knowledge base;Traditional public search engine,18,12,"Developer, full-stack",NA,NA,NA,NA,NA,United Kingdom of Great Britain and Northern Ireland,NA,NA,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,MariaDB;Microsoft SQL Server;MySQL,Amazon Web Services (AWS);Hetzner;Microsoft Azure;VMware,Amazon Web Services (AWS);Colocation;Hetzner;Microsoft Azure;VMware,Amazon Web Services (AWS);Hetzner;Microsoft Azure;VMware,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery;Next.js;React;WordPress,ASP.NET;ASP.NET CORE;jQuery;WordPress,NA,NA,NA,.NET (5+) ;.NET MAUI;Xamarin,.NET (5+) ;.NET MAUI,.NET (5+) ;.NET MAUI,NA,NA,NA,Kate;Nano;Notepad++;Visual Studio,Kate;Nano;Notepad++;PhpStorm;Visual Studio;Xcode,Kate;Nano;Notepad++;Visual Studio,iOS;iPadOS;Windows,BSD;Debian;iOS;iPadOS;MacOS;Red Hat;Ubuntu;Windows,Azure Devops;GitHub Discussions;Markdown File;Wikis,Azure Devops;GitHub Discussions;Markdown File;Wikis,Azure Devops;GitHub Discussions;Markdown File;Wikis,Microsoft Teams,Slack,NA,ChatGPT;Visual Studio Intellicode,GitHub Copilot;Visual Studio Intellicode,Visual Studio Intellicode,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,A few times per month or weekly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data,Other (please specify):,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
30,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;Other online resources (e.g., videos, blogs, forum, online community);Online Courses or Certification;Friend or family member",Technical documentation;Blogs;Stack Overflow,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,9,6,"Developer, full-stack",NA,NA,NA,NA,NA,Philippines,NA,NA,C#;HTML/CSS;JavaScript;SQL,C#;HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL,Microsoft SQL Server;MongoDB;SQLite,Cosmos DB;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;PostgreSQL;SQLite,Microsoft SQL Server;MongoDB;SQLite,Microsoft Azure,Amazon Web Services (AWS);Firebase;Microsoft Azure,Microsoft Azure,AngularJS;ASP.NET;ASP.NET CORE;jQuery;Node.js;React,ASP.NET;ASP.NET CORE;Blazor;Express;Next.js;Node.js;React;Vue.js,ASP.NET;ASP.NET CORE;Node.js;React,NA,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8),.NET (5+) ;.NET MAUI;Flutter,.NET (5+) ,NuGet;Visual Studio Solution,Docker;Kubernetes;npm;NuGet;Terraform;Visual Studio Solution,NuGet;Visual Studio Solution,Notepad++;Visual Studio;Visual Studio Code,Netbeans;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,Azure Devops;Jira;Trello;YouTrack,Azure Devops;Jira;Trello,Azure Devops;Jira;Trello,Microsoft Teams;Skype;Whatsapp;Zoom,Microsoft Teams;Whatsapp,Microsoft Teams;Whatsapp,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,Multiple times per day,No,NA,Quickly finding code solutions;Finding reliable guidance from community-vetted answers,"Yes, somewhat",Yes,Very favorable,Greater efficiency;Speed up learning;Improve accuracy in coding;Make workload more manageable,Neither trust nor distrust,"Good, but not great at handling complex tasks",Writing code;Search for answers,Learning about a codebase;Debugging and getting help;Predictive analytics;Generating content or synthetic data,Project planning;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring,,Writing code,Search for answers,,,No,Circulating misinformation or disinformation;Biased results that do not represent diverse viewpoints,Don’t trust the output or answers;Not everyone uses them,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
31,I am a developer by profession,Prefer not to say,"Student, full-time",NA,Apples,NA,Something else,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification",NA,NA,3,2,"Developer, back-end",NA,NA,NA,NA,NA,Australia,NA,NA,Go;HTML/CSS;Java;JavaScript;Perl;Python;TypeScript,Go;HTML/CSS;JavaScript;Julia;PHP;Python;TypeScript,Go;HTML/CSS;JavaScript;Python;TypeScript,Firebase Realtime Database;Microsoft Access,Firebase Realtime Database;Microsoft Access,Firebase Realtime Database;Microsoft Access,Amazon Web Services (AWS),Amazon Web Services (AWS);Firebase;Google Cloud,Amazon Web Services (AWS),Angular;Django;Flask;Node.js;React,Angular;Django;Flask;Next.js;Node.js,Angular;Django;Flask;Node.js,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Arduino;Rasberry Pi,Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow,Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow,Cordova;Keras;NumPy;Pandas;React Native;Scikit-Learn;TensorFlow,Chocolatey;Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Jupyter Notebook/JupyterLab;Sublime Text;Vim;Visual Studio Code,Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Ubuntu;Windows,MacOS,Markdown File,Markdown File,Markdown File,Discord;Google Chat;Google Meet,Discord,Discord,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange,NA,Yes,A few times per week,Quickly finding code solutions;Showcase expertise with code solutions;Other (please specify):,"Yes, definitely",Yes,Indifferent,Speed up learning;Make workload more manageable,Somewhat distrust,Neither good or bad at handling complex tasks,Debugging and getting help;Search for answers,Learning about a codebase,,,,,Debugging and getting help;Search for answers,,No,Imitating a person's likeness;Energy demand,"AI tools lack context of codebase,  internal architecture, and/or company knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA,NA
32,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Colleague;On the job training;School (i.e., University, College, etc);Online Courses or Certification",NA,NA,10,7,Other (please specify):,NA,NA,NA,NA,NA,United States of America,NA,NA,Bash/Shell (all shells);Go;HTML/CSS;Python;Scala;SQL,Bash/Shell (all shells);Go;Python;SQL,Bash/Shell (all shells);Go;Python;SQL,Databricks SQL;DuckDB;PostgreSQL,DuckDB;PostgreSQL,DuckDB;PostgreSQL,Amazon Web Services (AWS);Databricks,Amazon Web Services (AWS),Amazon Web Services (AWS),NA,NA,NA,NA,NA,NA,Apache Spark;NumPy;Pandas,NumPy;Pandas,NumPy;Pandas,Docker;Homebrew;Kubernetes;Pip;Terraform,Docker;Homebrew;Kubernetes;Pip;Terraform,Docker;Homebrew;Kubernetes;Pip;Terraform,DataGrip;IntelliJ IDEA;PyCharm;Vim,DataGrip;IntelliJ IDEA;PyCharm;Vim,DataGrip;IntelliJ IDEA;PyCharm;Vim,Windows;Windows Subsystem for Linux (WSL),MacOS,Jira;Miro;Monday.com;Notion,Jira;Miro,Jira;Miro,Slack;Zoom,Slack,Slack,GitHub Copilot,NA,NA,Stack Overflow;Stack Exchange,Multiple times per day,No,NA,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques;Learning new-to-everyone technology/techniques,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Energy demand,Don’t trust the output or answers,Yes,Individual contributor,7,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Never,1-2 times a week,3-5 times a week,60-120 minutes a day,15-30 minutes a day,Amount of technical debt;Number of software tools in use,DevOps function;Automated testing;Observability tools;Knowledge sharing community;AI-assisted technology tool(s);Continuous integration (CI) and (more often) continuous delivery,Cloud only (single or multi-cloud),Traditional public search engine,Insurance,0,0,0,0,50,30,20,0,0,Appropriate in length,Easy,NA,7
33,I am a developer by profession,25-34 years old,"Employed, full-time",In-person,Apples,Hobby,"Associate degree (A.A., A.S., etc.)","Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Stack Overflow;How-to videos;Programming Games,API document(s) and/or SDK document(s);User guides or README files found in the source repository;Traditional public search engine,12,7,"Developer, back-end",NA,NA,NA,NA,NA,Brazil,NA,NA,Bash/Shell (all shells);JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);C#;JavaScript;PHP;Python;SQL;TypeScript,Bash/Shell (all shells);JavaScript;PHP;SQL;TypeScript,Elasticsearch;MySQL;Redis,Elasticsearch;MongoDB;MySQL;Redis,Elasticsearch;MySQL;Redis,Amazon Web Services (AWS),Amazon Web Services (AWS),Amazon Web Services (AWS),CodeIgniter;NestJS;Node.js,CodeIgniter;Node.js,CodeIgniter;Node.js,NA,NA,NA,NA,NA,NA,Docker,Docker,Docker,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Windows,Ubuntu,Markdown File;Monday.com,Jira;Markdown File,Markdown File,Slack,Slack,Slack,ChatGPT,ChatGPT,ChatGPT,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Learning new-to-me technology/techniques,"Yes, somewhat",Yes,Indifferent,Improve accuracy in coding,Somewhat distrust,Neither good or bad at handling complex tasks,,Debugging and getting help;Search for answers;Generating content or synthetic data,Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Predictive analytics,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness;Energy demand,Don’t trust the output or answers;Lack of proper training and education on new tools,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Difficult,NA,NA
34,I am a developer by profession,35-44 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Apples,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification","Technical documentation;Stack Overflow;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges)",API document(s) and/or SDK document(s),18,16,"Developer, back-end",NA,NA,NA,NA,NA,Japan,NA,NA,Bash/Shell (all shells);Python,Bash/Shell (all shells);Go;Python;TypeScript,Bash/Shell (all shells);Python,Cassandra;Elasticsearch,Cassandra;Clickhouse;Elasticsearch;Redis,Cassandra;Elasticsearch,NA,NA,NA,FastAPI,FastAPI,FastAPI,NA,NA,NA,Ruff,Pandas;Ruff,Ruff,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,Ansible;Docker;Homebrew;Kubernetes;Pip;Terraform,IPython;Visual Studio Code,IPython;Visual Studio Code,IPython;Visual Studio Code,MacOS,MacOS,Confluence;Jira;Miro,Confluence;Jira;Miro,Confluence;Jira;Miro,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,Microsoft Teams;Slack;Zoom,NA,NA,NA,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,Quickly finding code solutions;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, somewhat","No, but I plan to soon",Indifferent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Circulating misinformation or disinformation;Missing or incorrect attribution for sources of data;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge;We don’t have the right policies in place to reduce security risks",Yes,People manager,16,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly disagree,1-2 times a week,1-2 times a week,1-2 times a week,60-120 minutes a day,60-120 minutes a day,Amount of technical debt;Tracking my work;Showing my contributions;Complexity of tech stack for deployment,DevOps function;Automated testing;Observability tools;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery,On-prem,Other:,"Internet, Telecomm or Information Services",20,0,5,15,15,20,0,0,25,Appropriate in length,Neither easy nor difficult,NA,6
35,I code primarily as a hobby,Under 18 years old,"Student, full-time",NA,Apples,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","On the job training;Other online resources (e.g., videos, blogs, forum, online community)","Technical documentation;Stack Overflow;Interactive tutorial;Online challenges (e.g., daily or weekly coding challenges)",User guides or README files found in the source repository;Traditional public search engine,5,NA,Student,NA,NA,NA,NA,NA,United States of America,NA,NA,C++;HTML/CSS;Java;JavaScript;MATLAB;Perl;PowerShell;Python;SQL;TypeScript,C++;Dart;Go;HTML/CSS;PowerShell;Python;Rust;SQL;TypeScript,C++;HTML/CSS;PowerShell;Python;SQL;TypeScript,NA,NA,NA,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,Microsoft Azure;Oracle Cloud Infrastructure (OCI);PythonAnywhere,Django;FastAPI;jQuery;Next.js;Node.js;React,Django;FastAPI;Htmx;Next.js;Node.js;React,Django;FastAPI;Next.js;Node.js;React,Arduino;Rasberry Pi,Arduino;CMake;Rasberry Pi,Arduino;Rasberry Pi,NumPy;Pandas,.NET (5+) ;Electron;Flutter;Hugging Face Transformers;NumPy;Pandas;React Native;TensorFlow,NumPy;Pandas,Gradle;npm;Pip;Unity 3D;Webpack;Yarn,Pip;pnpm;Webpack;Yarn,Pip;Webpack;Yarn,IPython;Vim;Visual Studio Code,IPython;Vim;Visual Studio Code,IPython;Vim;Visual Studio Code,Android;Ubuntu;Windows,Windows,NA,NA,NA,Discord;Slack;Whatsapp;Zoom,Slack;Whatsapp;Zoom,Slack;Whatsapp;Zoom,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,ChatGPT;GitHub Copilot;Google Gemini;Meta AI;WolframAlpha,ChatGPT;GitHub Copilot;Google Gemini;WolframAlpha,Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast,A few times per week,Yes,A few times per month or weekly,Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely",Yes,Favorable,Increase productivity;Greater efficiency,Somewhat distrust,Bad at handling complex tasks,Writing code;Documenting code,Learning about a codebase;Debugging and getting help;Testing code,Project planning;Committing and reviewing code;Deployment and monitoring;Predictive analytics;Search for answers;Generating content or synthetic data,,,Writing code,,,No,Circulating misinformation or disinformation;Imitating a person's likeness,"Don’t trust the output or answers;AI tools lack context of codebase,  internal architecture, and/or company knowledge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too short,Easy,NA,NA
36,I am a developer by profession,25-34 years old,"Employed, full-time",Remote,Apples,Hobby;Freelance/contract work,Some college/university study without earning a degree,"Books / Physical media;On the job training;Other online resources (e.g., videos, blogs, forum, online community);School (i.e., University, College, etc);Online Courses or Certification",Technical documentation;Written Tutorials;Stack Overflow;Social Media;How-to videos;AI,API document(s) and/or SDK document(s);User guides or README files found in the source repository,10,6,"Developer, full-stack",NA,NA,NA,NA,NA,United States of America,NA,NA,Bash/Shell (all shells);C#;C++;HTML/CSS;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,Microsoft SQL Server,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure;VMware,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor,ASP.NET CORE;Blazor,ASP.NET CORE;Blazor,NA,NA,NA,.NET (5+) ;Xamarin,.NET (5+) ,.NET (5+) ,Visual Studio Solution,Visual Studio Solution,Visual Studio Solution,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Windows,GitHub Discussions;Stack Overflow for Teams,GitHub Discussions,GitHub Discussions,Microsoft Teams,Microsoft Teams,Microsoft Teams,ChatGPT,NA,NA,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Multiple times per day,Yes,Less than once per month or monthly,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Engage with community by commenting on questions and answers or voting on questions and answers,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Individual contributor,6,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,Never,30-60 minutes a day,15-30 minutes a day,Amount of technical debt;Complexity of tech stack for build,DevOps function;Automated testing;Continuous integration (CI) and (more often) continuous delivery,Hybrid (on-prem and cloud),Traditional public search engine,Software Development,5,0,20,30,10,20,5,0,10,Appropriate in length,Easy,NA,7
37,I am a developer by profession,18-24 years old,"Independent contractor, freelancer, or self-employed",Remote,Apples,Contribute to open-source projects;Bootstrapping a business;School or academic work,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","School (i.e., University, College, etc)",NA,NA,9,8,Student,NA,NA,NA,NA,NA,Austria,NA,NA,Bash/Shell (all shells);C#;Java;OCaml;SQL,Bash/Shell (all shells);Java;SQL,Bash/Shell (all shells);Java;SQL,H2;MySQL,H2;MySQL;Neo4J,H2;MySQL,Google Cloud;Oracle Cloud Infrastructure (OCI),Google Cloud;Oracle Cloud Infrastructure (OCI),Google Cloud;Oracle Cloud Infrastructure (OCI),ASP.NET;ASP.NET CORE;Spring Boot,Spring Boot,Spring Boot,NA,NA,NA,NumPy;Pandas;Scikit-Learn;Spring Framework;Torch/PyTorch,Spring Framework;Torch/PyTorch,Spring Framework;Torch/PyTorch,Gradle;Kubernetes;Maven (build tool),Kubernetes;Maven (build tool),Kubernetes;Maven (build tool),Eclipse;IPython;Jupyter Notebook/JupyterLab;Notepad++;Visual Studio;Visual Studio Code,Eclipse,Eclipse,Ubuntu,Ubuntu,Airtable;GitHub Discussions;Markdown File;Obsidian;Stack Overflow for Teams,GitHub Discussions;Markdown File;Obsidian,GitHub Discussions;Markdown File;Obsidian,Discord;Whatsapp;Zoom,Discord;Zoom,Discord;Zoom,NA,NA,NA,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange;Stack Overflow Blog or Podcast;Overflow API,Multiple times per day,Yes,Multiple times per day,Quickly finding code solutions;Finding reliable guidance from community-vetted answers;Showcase expertise with code solutions;Engage with community by commenting on questions and answers or voting on questions and answers;Learning new-to-me technology/techniques,"Yes, definitely","No, and I don't plan to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA,NA
